50,,,,,,,,,,1 to 5,5 to 10,10 to 15,15 to 20,100,,,,,,,,1 to 5,5 to 10,10 to 15,15 to 20,,500,,,,,,,
Simulation,Clust Nr,ARI, AMI, Hom, Com, VM, CHS, DBS, SS,,,,,ARI, AMI, Hom, Com, VM, CHS, DBS, SS,,,,,,ARI, AMI, Hom, Com, VM, CHS, DBS, SS
24,7,0.17,0.03,0.19,-0.13,0.03,828.72,-0.07,0.07,0,1,0,0,-0.21,-0.07,0.15,-0.27,-0.07,-3932.61,0.55,-0.12,0,1,0,0,,-0.16,-0.11,0.13,-0.31,-0.11,-6214.24,0.16,-0.13
26,14,0.72,0.79,0.76,0.82,0.79,19358.17,0.83,0.39,0,0,0,0,0,0,0,1,0,63120.52,0,0,0,0,0,0,,,,,,,,,
26,14,0.67,0.74,0.69,0.81,0.75,13898.45,2.3,0.22,0,0,0,0,0.67,0.74,0.69,0.81,0.75,13898.45,2.3,0.22,0,0,0,0,,,,,,,,,
26,14,0.06,0.05,0.07,0.02,0.05,5459.72,-1.47,0.17,0,0,1,0,-0.67,-0.74,-0.69,0.19,-0.75,49222.06,-2.3,-0.22,0,0,1,0,,,,,,,,,
27,6,0.47,0.73,0.93,0.6,0.73,6178.37,1.32,0.4,0,0,0,0,0.55,0.73,0.91,0.61,0.73,6107.03,1.13,0.43,0,0,0,0,,,,,,,,,
27,6,0.59,0.75,0.87,0.66,0.75,7201.89,2.22,0.37,0,0,0,0,0.59,0.75,0.87,0.66,0.75,7201.89,2.22,0.37,0,0,0,0,,,,,,,,,
27,6,-0.12,-0.03,0.05,-0.06,-0.03,-1023.51,-0.9,0.03,0,1,0,0,-0.04,-0.02,0.04,-0.05,-0.02,-1094.86,-1.09,0.06,0,1,0,0,,,,,,,,,
28,15,0.57,0.76,0.74,0.78,0.76,11407.22,1.66,0.37,0,0,0,0,0.78,0.81,0.83,0.8,0.81,11790.64,1.37,0.44,0,0,0,0,,,,,,,,,
28,15,0.61,0.72,0.68,0.77,0.72,10600.3,1.43,0.24,0,0,0,0,0.61,0.72,0.68,0.77,0.72,10600.3,1.43,0.24,0,0,0,0,,,,,,,,,
28,15,-0.04,0.04,0.06,0.01,0.04,806.92,0.23,0.13,0,0,0,1,0.17,0.09,0.15,0.03,0.09,1190.34,-0.06,0.2,0,0,0,1,,,,,,,,,
29,4,0.02,0.28,0.35,0.24,0.29,2485.64,1.19,-0.07,0,0,0,0,0.25,0.52,0.91,0.36,0.52,3971.19,1.17,0.46,0,0,0,0,,,,,,,,,
29,4,0.48,0.69,0.93,0.55,0.69,2840.64,0.6,0.46,0,0,0,0,0.48,0.69,0.93,0.55,0.69,2840.64,0.6,0.46,0,0,0,0,,,,,,,,,
